ISIC4,ISIC4_Code,ISCO08,TotalEmp,Percent
Administration and Support,N,Skilled Agricultural,42518,0.0081
Administration and Support,N,Craft and Related Trades Workers,61391,0.0116
Administration and Support,N,Plant and Machine Operators,50744,0.0096
Education,P,Managers,6687,0.0013
Education,P,Professionals,50759,0.0096
Education,P,Technicians and Associate Professionals,19901,0.0038
Education,P,Clerical Support Workers,12218,0.0023
Education,P,Service and Sales Workers,8206,0.0016
Education,P,Skilled Agricultural,16082,0.0031
Education,P,Craft and Related Trades Workers,14393,0.0027
Education,P,Plant and Machine Operators,13232,0.0025
Healthcare and Social,Q,Managers,5212,0.001
Healthcare and Social,Q,Professionals,22451,0.0043
Healthcare and Social,Q,Technicians and Associate Professionals,6050,0.0011
Healthcare and Social,Q,Clerical Support Workers,5739,0.0011
Healthcare and Social,Q,Service and Sales Workers,3327,0.0006
Healthcare and Social,Q,Skilled Agricultural,1154,0.0002
Healthcare and Social,Q,Craft and Related Trades Workers,706,0.0001
Healthcare and Social,Q,Plant and Machine Operators,1522,0.0003
Arts and Entertainment,R,Managers,3138,0.0006
Arts and Entertainment,R,Professionals,4792,0.0009
Arts and Entertainment,R,Technicians and Associate Professionals,8766,0.0017
Arts and Entertainment,R,Clerical Support Workers,3042,0.0006
Arts and Entertainment,R,Service and Sales Workers,3027,0.0006
Arts and Entertainment,R,Skilled Agricultural,2199,0.0004
Arts and Entertainment,R,Craft and Related Trades Workers,1799,0.0003
Arts and Entertainment,R,Plant and Machine Operators,973,0.0002
Other Services,S,Managers,9618,0.0018
Other Services,S,Professionals,22186,0.0042
Other Services,S,Technicians and Associate Professionals,13394,0.0025
Other Services,S,Clerical Support Workers,11980,0.0023
Other Services,S,Service and Sales Workers,100664,0.0191
Other Services,S,Skilled Agricultural,29260,0.0056
Other Services,S,Craft and Related Trades Workers,12872,0.0024
Other Services,S,Plant and Machine Operators,9040,0.0017
